SUBJECT,nclusters,avgclustersize
11141,16,1.9375
13142,31,1.7419354838709677
12971,0,0
12390,6,4.166666666666667
11611,17,1.7058823529411764
12398,29,1.4827586206896552
12717,4,3.75
12316,35,1.9428571428571428
13151,17,1.5294117647058822
12608,10,4.5
11035,15,2.8666666666666667
13128,26,1.8461538461538463
11136,25,2.08
13304,0,0
13293,21,2.380952380952381
12612,3,8.333333333333334
12520,17,1.588235294117647
911429,19,2.0526315789473686
12297,20,1.35
12683,33,1.5454545454545454
13604,0,0
11037,5,3.8
11036,28,1.8928571428571428
13044,7,2.4285714285714284
12547,31,1.4516129032258065
12878,20,2.0
13131,0,0
11200,0,0
12828,28,1.8571428571428572
911401,0,0
911343,5,3.0
12409,8,3.25
13326,0,0
13191,17,1.6470588235294117
13503,11,3.4545454545454546
13648,23,1.565217391304348
12095,0,0
13079,26,1.9615384615384615
11417,19,2.1052631578947367
11003,10,2.6
13081,17,2.5294117647058822
11011,2,8.5
13061,23,2.1739130434782608
13628,0,0
12959,28,1.5714285714285714
12417,0,0
13069,7,2.4285714285714284
11009,33,1.9090909090909092
11655,11,2.0
12840,0,0
11743,9,3.4444444444444446
12737,3,4.0
11014,19,1.5789473684210527
11070,16,1.8125
11327,13,2.1538461538461537
12830,19,1.894736842105263
