SUBJECT,sub,CDI,ACC,RT
187,187.00,510,.68,858.33
188,188.00,-9,.54,733.33
189,189.00,-9,-9.00,-9.00
190,190.00,-9,.64,938.78
192,192.00,467,.67,627.00
193,193.00,-9,.67,844.81
196,196.00,153,.72,656.46
197,197.00,22,.63,1046.80
202,202.00,0,-9.00,-9.00
203,203.00,233,.76,756.88
210,210.00,403,.57,992.56
215,215.00,-9,-9.00,-9.00
230,230.00,-9,-9.00,-9.00
231,231.00,528,.66,941.64
232,232.00,218,.62,966.67
241,241.00,-9,-9.00,-9.00
248,248.00,88,.72,823.08
259,259.00,34,.76,855.67
260,260.00,607,.67,804.79
261,261.00,124,.75,839.00
266,266.00,-9,-9.00,-9.00
272,272.00,-9,-9.00,-9.00
277,277.00,-9,-9.00,-9.00
279,279.00,-9,-9.00,-9.00
282,282.00,-9,-9.00,-9.00
283,283.00,-9,-9.00,-9.00
300,300.00,239,.56,959.08
302,302.00,-9,-9.00,-9.00
304,304.00,435,.71,782.00
308,308.00,94,.65,842.56
309,309.00,293,.49,1060.25
310,310.00,115,.73,561.86
311,311.00,379,.64,786.70
312,312.00,102,.60,1145.43
313,313.00,-9,.65,968.30
320,320.00,-9,-9.00,-9.00
330,330.00,26,-9.00,-9.00
332,332.00,132,.44,1166.80
334,334.00,210,.58,885.71
335,335.00,92,.61,1177.89
336,336.00,-9,-9.00,-9.00
338,338.00,-9,-9.00,-9.00
421,421.00,399,.74,768.93
425,425.00,-9,-9.00,-9.00
426,426.00,76,.71,1058.50
427,427.00,86,.62,828.30
431,431.00,258,.70,721.18
433,433.00,351,.59,886.17
435,435.00,241,.,.
436,436.00,77,.78,577.67
439,439.00,39,.69,855.08
440,440.00,310,.64,1305.67
