SUBJECT,nclusters,avgClustersize,minClusterAWC,maxClusterAWC,avgClusterDensity,clean_total_hrs,clean_mean_awc,clean_sd_awc,clusterPerHr,avgClusterDensityPerHr,ACC,gini,avgPropDrop
187,11,1.3636363636363635,41.4,115.2444444444444,69.60370370370372,9.970833333333333,393.53841165911973,292.2695157021819,1.1032177183451735,6.980730835306683,0.68,0.15228010402067507,0.051244186046511646
188,7,1.7142857142857142,45.2,216.2,100.57142857142858,4.4174999999999995,302.42921657743636,111.05561519252959,1.5846066779852859,22.766593904115133,0.54,0.16297348457068908,0.07726923076923078
190,4,2.25,31.8,183.1139240506329,92.5311125916056,6.434444444444444,280.3395057665321,82.38836213917669,0.6216542911414265,14.380590801665525,0.64,0.1188294935329863,0.05454411764705884
192,7,1.7142857142857142,39.8,294.6,98.94285714285715,9.666666666666666,355.9151604240747,168.6511355483472,0.7241379310344828,10.235467980295567,0.67,0.17025218952117244,0.04412380952380954
193,8,1.5,7.2,83.39999999999999,28.15,12.129444444444445,72.52661147055969,62.826955061587725,0.6595520542298355,2.3207987908212337,0.67,0.34458259141430236,0.048842105263157895
196,11,1.5454545454545454,26.6,123,65.1492957746479,7.6674999999999995,244.5311811667903,103.57610846137538,1.4346266710140203,8.496810665099172,0.72,0.23692373657535767,0.05764000000000001
197,8,1.375,13.4,221.538461538462,58.54945054945061,9.810833333333333,125.02543080552338,71.90180922849832,0.8154251252866729,5.967836631218953,0.63,0.48053763878412536,0.047880434782608707
203,5,1.8,35.8163265306122,187,83.82281241263628,4.280555555555556,313.0844616193064,117.8505208841274,1.1680726800778714,19.582227429298545,0.76,0.12508587130856794,0.07682352941176472
210,5,1.6,37.8,135.4,73.44000000000001,7.666666666666667,284.7652173913043,109.78938578373244,0.6521739130434783,9.57913043478261,0.57,0.08278867084359769,0.042252747252747254
231,8,1.625,49.6,244,108.71596638655463,8.426388888888889,412.20306022524386,208.85122924290286,0.9493983847041372,12.901845359868028,0.66,0.1967085372803884,0.04548514851485149
232,7,1.5714285714285714,21.8,110.8,53.42857142857143,5.083333333333333,186.45245901639345,51.0628460078778,1.3770491803278688,10.510538641686184,0.62,0.2033057845260087,0.06813793103448276
248,2,2.5,59.6,92.80000000000001,76.2,4.701666666666667,241.2072719906821,90.84998527595349,0.42538107054236085,16.207018787663948,0.72,0.03307086603323207,0.061250000000000006
259,4,2,21.8,181,77.54516129032257,5.501666666666667,179.22753166071746,84.2210723593096,0.7270524083611026,14.094849068219794,0.76,0.2532811258495182,0.07102985074626866
260,4,1.75,10.4,68.4,37.7841121495327,5.1963888888888885,94.32251108960662,31.075325156818263,0.7697653284866628,7.271224875090487,0.67,0.3693918421918485,0.06745901639344262
261,7,1.7142857142857142,20.4,179,67.65714285714286,5.583333333333333,180.14328358208957,79.63728886506482,1.2537313432835822,12.11769722814499,0.75,0.21347128324289366,0.06407575757575758
300,8,1.5,26.8,167.4,74.725,5.674166666666666,275.6156067949283,105.30823369314838,1.4098986635335586,13.169334704068145,0.56,0.2021021519306525,0.06454411764705884
304,4,2,42.3396226415094,146.2,106.88490566037733,4.906944444444444,377.8603250217625,171.00595238813804,0.8151712425700538,21.782375339788192,0.71,0.12857905675953005,0.055931034482758636
308,4,1.75,61,258.79999999999995,123.64999999999999,5.219166666666666,266.678831839298,141.32618872684364,0.766405875778381,23.6915216349992,0.65,0.23002715004126476,0.07690000000000001
309,6,1.6666666666666667,21.4,92.19999999999999,42.86666666666667,4.133611111111112,141.62860349565113,36.11547753894104,1.4515153551508633,10.37027081513339,0.49,0.13732503834632565,0.06518750000000001
310,11,1.4545454545454546,38,127,64.74285714285715,8.643888888888888,327.75668366512076,208.24097084138424,1.2725753583135164,7.49001496607384,0.73,0.1526919679564131,0.05054945054945056
311,3,2,118.4,139.8,131.6,4.925833333333333,345.2378280411757,149.40297579955205,0.6090340043985789,26.71629165961766,0.64,0.0793650792444637,0.0669491525423729
312,5,1.6,33.8,76.0135593220339,54.92597717052922,3.944444444444444,191.48865777611815,74.79575272524325,1.267605633802817,13.92489562069755,0.6,0.08729553286786143,0.09671739130434782
313,1,4,199.40000000000003,199.40000000000003,199.40000000000003,2.9505555555555554,467.3740550851775,144.18248329480286,0.3389192242515534,67.58049331575975,0.65,0.09302908707516731,0.13037142857142858
332,3,2,34.6,169,82.06666666666666,3.711666666666667,187.36516489547472,70.06609969503528,0.8082622361921867,22.11046250561293,0.44,0.16395884065106153,0.09127906976744186
334,7,1.4285714285714286,19.2,114,48.222777222777225,6.272777777777778,179.02307919132517,71.78575125697915,1.115933044017359,7.687627225312108,0.58,0.26475979288059803,0.06548000000000001
335,4,2,37,166.60000000000002,101.25,7.537222222222222,339.6046699179301,98.86748903761637,0.5306994914129874,13.433330876391244,0.61,0.17104938237817405,0.04250549450549452
421,0,0,0,0,0,4.3966666666666665,250.5821794820638,158.87783421543153,0,0,0.74,0.08904109568712078,0.10723255813953489
426,2,2.5,16.2,78.3594594594595,42.5864864864865,2.591111111111111,183.5115092344814,25.455204337435365,0.7718696397941681,16.43560799221177,0.71,0.1258615213707266,0.10286666666666668
427,4,1.75,97.2,340,183.85000000000002,4.839722222222222,626.9341884139578,228.69589398650996,0.8264937152040407,37.98771738506572,0.62,0.09790590145698379,0.07012068965517242
431,5,1.6,68,219.2,149.44,3.7683333333333335,638.7583933094769,361.01347752724746,1.3268465280849182,39.656789031402035,0.7,0.11710385426434276,0.08320000000000001
433,6,1.6666666666666667,33.4,133.4,76.5,4.75,225.43157894736842,130.89615901333562,1.263157894736842,16.105263157894736,0.59,0.18348583838020516,0.07016363636363637
436,1,4,78.6,78.6,78.6,3.2475,151.7909313710233,39.85488407310337,0.30792917628945343,24.203233256351037,0.78,0.05407124654416669,0.08320512820512821
439,7,1.5714285714285714,30,124.6,73.94285714285715,6.773333333333333,229.88323108226638,95.84625449378625,1.0334645669291338,10.916760404949382,0.69,0.24596037604044527,0.07298684210526317
440,0,0,0,0,0,3.75,213.06666666666666,107.27254386219553,0,0,0.64,0.2728337230144409,0.08050000000000002
