SUBJECT,gini
196,0.4744178708935251
431,0.401250522639575
425,0.3257662210088577
424,0.4621019141080702
197,0.5759594515485487
426,0.5024122801383435
433,0.5105721641237242
427,0.37437654098673273
231,0.5109250945830293
190,0.4219424081298043
345,0.3131672590063449
436,0.4473162917643567
344,0.5879645339274968
230,0.40403775382313944
232,0.49740566823060517
193,0.6081727698204944
187,0.4628900965991811
421,0.5865131849541043
435,0.49654059406972184
192,0.44870048413244756
283,0.49351774928884085
334,0.5366539338291981
320,0.45552579780754876
308,0.5469949592771868
485,0.5707590348092028
309,0.46482450345743137
335,0.42228194966664
282,0.48668531740643173
241,0.5779008587716573
445,0.5417337477162242
451,0.8375738751972496
492,0.5473657818185964
336,0.5316111700846148
444,0.45070061090313546
440,0.5352816819838638
332,0.5027555604477573
279,0.6031815077181036
481,0.499771765731976
330,0.34721996410794753
261,0.5807806387792466
513,0.6226827003501169
300,0.44186278556551223
248,0.3887569068171393
512,0.496580397979995
260,0.5739916788360883
276,0.4731833377120429
302,0.4825219379284566
464,0.6102192313715084
470,0.5243081360026582
471,0.5385654531455952
465,0.5356222960362637
277,0.47061402625255655
511,0.6891025499671273
501,0.3594800394540227
461,0.2893042054916647
307,0.4628365314307581
313,0.44875548432014006
475,0.5825582029519915
312,0.566385184430005
474,0.5112525104038461
460,0.5728520999250067
266,0.48002200629390684
500,0.6860267829237932
272,0.6723043414343752
528,0.6885646925308072
338,0.43722930071230726
476,0.6952081011302714
310,0.4540598067941331
304,0.3867457799080867
488,0.7021680500230147
477,0.6742212389124504
311,0.46656826484365105
271,0.45705217894560085
503,0.5388393238051735
259,0.5189370970264553
202,0.5808896357116333
439,0.4825562450757526
203,0.421292478232366
215,0.5979029013515872
188,0.5328523718596611
189,0.556075268665379
